	author	title	journal	year	Volume	issue	page	Freq
1		NA	NA	NA	NA	NA	NA	22
2			NA	NA	NA	NA	NA	14
3	刘则渊	科学知识图谱:方法与应用	北京:人民出版社	NA	NA	NA	NA	13
4	陈悦	引文空间分析原理与应用	北京:科学出版社	NA	NA	NA	NA	6
5	邱均平	信息计量学	武汉:武汉大学出版社	NA	NA	NA	NA	6
6	Chen,C_	CiteSpace Ⅱ: Detecting and visualizing emerging trends and transient patterns in scientific literature	Journal of the American Society for Information Science and Technology	2006	57	3	NA	5
7	陈悦	悄然兴起的科学知识图谱	科学学研究	2005		2	NA	5
8	陈悦	悄然兴起的科学知识图谱	科学学研究	2005	23	2	NA	5
9	陈悦	引文空间分析原理与应用:CiteSpace实用指南	北京:科学出版社	NA	NA	NA	NA	5
10	邱均平	信息计量学	武汉:武汉大学出版社，2007	NA	NA	NA	NA	5
11	苏新宁	构建人文社会科学学术期刊评价体系	东岳论丛	2008	29	1	NA	5
12	苏新宁	中国人文社会科学学术影响力报告	北京:中国社会科学出版社，2007	NA	NA	NA	NA	5
13	罗式胜	文献计量学概论	广州:中山大学出版社，1994	NA	NA	NA	NA	4
14	秦长江	知识图谱——信息管理与知识管理的新领域	大学图书馆学报	2009		1	NA	4
15	苏新宁	构建人文社会科学学术期刊评价体系	东岳论丛	2008		1	NA	4
16	Almind,T_C_	Informetric analyses on the World Wide Web:methodological approaches to "Webometrics"	Journal of Documentation	1997	53	4	404-426	3
17	Chen,C_	Cite Space Ⅱ: Detecting and visualizing emerging trends and transient patterns in scientific literature	Journal of the American Society for Information Science and Technology	2006	57	3	NA	3
18	邓小昭	网络用户信息行为研究	北京:科学出版社	NA	NA	NA	NA	3
19	丁学东	文献计量学基础	北京:北京大学出版社，1993	NA	NA	NA	NA	3
20	侯海燕	科学计量学知识图谱	大连:大连理工大学出版社	NA	NA	NA	NA	3
21	刘则渊	关于知识计量学研究的方法论思考	科学学与科学技术管理	2002		8	NA	3
22	邱均平	文献计量学	北京:科学技术文献出版社	NA	NA	NA	NA	3
23	邱均平	文献计量学	北京:科学技术文献出版社，1988	NA	NA	NA	NA	3
24	苏新宁	构建人文社会科学学术期刊评价体系	东岳论丛	2008		1	NA	3
25	朱强	中文核心期刊要目总览	北京:北京大学出版社	NA	NA	NA	NA	3
26			2003	NA	NA	NA	NA	2
27			2010	NA	NA	NA	NA	2
28		Changing Scholarly Communication Landscape: An International Survey of Senior Researchers	Learned Publishing	2006	19	1	NA	2
29		现代汉语词典	北京:商务印书馆	NA	NA	NA	NA	2
30	Almind,T_C_	Information Analysis on the WWW:Methodological Approaches to "Webmetrics"	Journal of Documentation	1997	53	4	NA	2
31	Brookes,B_C_	Towards informetrics	Journal of Documentation	1984	40	2	NA	2
32	CHEN,C_	Cite Space Ⅱ: Detecting and visualizing emerging trends and transient patterns in scientific literature	Journal of the American Society for Information Science and Technology	2006	57	3	NA	2
33	Chen,Chaomei	CiteSpace Ⅱ: Detecting and Visualizing Emerging Trends and Transient Patterns in Scientific Literature	Journal of the American Society for Information Science and Technology	2006	57	3	NA	2
34	Garfield,E_	Scientometrics comes to age	Current Contents	1979	46	NA	5-10	2
35	Liu,Zeyuan	On Scientometrics-Based Institutional Science Studies	Free University Berlin,Germany，2000	NA	NA	NA	NA	2
36	Robins,R_W_	An empirical analysis of trends in psychology	American Psychologist	1999	54	2	NA	2
37	SCHUMPETER,JOSEPH A_	Theory of economic development: an inquiry into profits, capital, credit, interest, and the business cycle	Beijing:The Commercial Press	NA	NA	NA	NA	2
38	埃格希，L_	情报计量学引论	北京:科学技术文献出版社，1992:	NA	NA	NA	NA	2
39	安秀芬	期刊工作文献计量学学术论文的关键词分析	中国科技期刊研究	2002	13	6	505－506	2
40	部义峰	足球运动员的体能研究范式与体能训练研究	体育科学	2012	32	8	NA	2
41	陈超美	CiteSpace Ⅱ:科学文献中新趋势与新动态的识别与可视化	情报学报	2009		3	NA	2
42	陈悦	CiteSpace知识图谱的方法论功能	科学学研究	2015		2	NA	2
43	陈悦	悄然想起的科学知识图谱	科学学研究	2005	23	2	NA	2
44	陈悦	悄然兴起的科学知识图谱	科学学研究	2005		2	NA	2
45	戴龙基	中文核心期刊要目总览	北京:北京大学出版社，2000	NA	NA	NA	NA	2
46	丁学东	文献计量学基础	北京:北京大学出版社，1992	NA	NA	NA	NA	2
47	霍丽萍	网络环境下的文献计量学	图书情报工作	2001		11	40—42，92	2
48	姜春林	期刊文献计量与知识图谱对《情报科学》的解读	情报科学	2009		2	NA	2
49	梁秀娟	科学知识图谱研究综述	图书馆杂志	2009		6	NA	2
50	刘军	社会网络分析导论	北京:社会科学文献出版社	NA	NA	NA	NA	2
51	刘宁南	2005年《情报科学》的文献计量学分析	情报科学	2006		2	NA	2
52	刘则渊	科学学理论体系建构的思考——基于科学计量学的中外科学学进展研究报告	科学学研究	2006		1	NA	2
53	刘则渊	科学知识图谱方法及其在科技情报中的应用	数字图书馆论坛	2009		10	NA	2
54	刘泽渊	科学知识图谱方法与应用	北京:人民出版社	NA	NA	NA	NA	2
55	罗式胜	文献计量学概论	广州:中山大学出版社	NA	NA	NA	NA	2
56	罗式胜	文献计量学引论	北京:书目文献出版社，1987:	NA	NA	NA	NA	2
57	吕福谦	2001年《情报科学》载文、作者及引文的统计分析	情报科学	2003		11	NA	2
58	庞恩旭	我国核心期刊的现状分析与研究	图书馆论坛	2004		2	NA	2
59	庞景安	科学计量研究方法论	北京:科学技术文献出版社	NA	NA	NA	NA	2
60	邱均平	论知识管理与竞争情报	图书情报工作	2000		4	NA	2
61	邱均平	文献计量学	北京:科学技术出版社，1988	NA	NA	NA	NA	2
62	邱均平	文献计量学	北京:科学技术文献出版社，1988:	NA	NA	NA	NA	2
63	苏新宁	人文社会科学期刊评价指标体系研究	图书馆论坛	2006		6	NA	2
64	苏新宁	我国人文社会科学图书被引概况分析——基于CSSCI数据库	东岳论丛	2009		7	NA	2
65	苏新宁	中国人文社会科学学术影响力报告（2000—2004）	北京:中国社会科学出版社	NA	NA	NA	NA	2
66	隋鑫	2009-2013年国内图书馆学情报学研究热点分析	情报科学	2015	33	10	NA	2
67	王崇德	文献计量学引论	桂林:广西师范大学出版社，1997	NA	NA	NA	NA	2
68	王念祖	数字出版赢利模式高被引论文特征分析	情报杂志	2013		32	NA	2
69	魏顺平	教育技术研究领域研究者派系分析与可视化研究	开放教育研究	2008		1	NA	2
70	杨思洛	中外图书情报学科知识图谱比较研究	北京:科学出版社	NA	NA	NA	NA	2
71	叶继元	图书馆学、情报学与信息科学、信息管理学等学科的关系问题	中国图书馆学报	2004	30	3	NA	2
72	张斌贤	近三十年我国教育知识来源的变迁——基于《教育研究》杂志论文引文的研究	教育研究	2009		4	NA	2
73	张玉利	论创业研究的学科发展及其对管理理论的挑战	外国经济与管理	2007		1	NA	2
74			2004	NA	NA	NA	NA	1
75			2008	NA	NA	NA	NA	1
76			2009	NA	NA	NA	NA	1
77			2014	NA	NA	NA	NA	1
78		“第十二次全国国民阅读调查”成果发布	2015	NA	NA	NA	NA	1
79		“高举中国特色社会主义伟大旗帜，为夺取全面建设小康社会新胜利而奋斗”——胡锦涛同志十七大报告	人民日报	2007	10	NA	NA	1
80		《体育发展十三五规划》发布	2017	NA	NA	NA	NA	1
81		《中国海洋年鉴》编纂委员会编:中国海洋年鉴(2013)	北京:海洋出版社,2013:15	NA	NA	NA	NA	1
82		1995—1997年全国优秀图书馆学期刊名单	中国图书馆学报	1999		1	NA	1
83		1995—1997年全国优秀图书馆学期刊名单	中国图书馆学报	1999	25	1	NA	1
84		2007年全国新闻出版业基本情况	2009	NA	NA	NA	NA	1
85		2013年国家级经济技术开发区统计年报	2014	NA	NA	NA	NA	1
86		5亿观众收看里约奥运乒乓	2017	NA	NA	NA	NA	1
87		CSSCI来源文献检索、被引文献检索	NA	NA	NA	NA	NA	1
88		Defining e-Science	2015	NA	NA	NA	NA	1
89		Derwent Patent Citation Index	2001	NA	NA	NA	NA	1
90		Development and Verification of A Bibliometric Model for the Identification of Frontier Research-DBF	2015	NA	NA	NA	NA	1
91		Digital humanities	2015	NA	NA	NA	NA	1
92		Directory of Open Access Repositories-OpenDOAR	2014	NA	NA	NA	NA	1
93		EMC数字宇宙项目报	2012	NA	NA	NA	NA	1
94		Global MBA Ranking 2017	NA	NA	NA	NA	NA	1
95		History of E-learning	NA	NA	NA	NA	NA	1
96		JCR	2011	NA	NA	NA	NA	1
97		Journal citation reports	2010	NA	NA	NA	NA	1
98		Journal Citation Reports	2014	NA	NA	NA	NA	1
99		Journal of Scholarly Publishing	2011	NA	NA	NA	NA	1
100		Literature of bibliometrics,scientometrics,and informetrics	Scientometrics	2001		2	NA	1
101		MOOC成教育信息化热点重点高校全上阵	NA	NA	NA	NA	NA	1
102		Prize in Economic Sciences 2016	2016	NA	NA	NA	NA	1
103		Swine-origin influenza A (H1N1) virus infections in a school-New York City, April 2009	2009	NA	NA	NA	NA	1
104		United Nations Educational, Scientific and Cultural Organization	2012	NA	NA	NA	NA	1
105		Usnews排名	2010	NA	NA	NA	NA	1
106		Web of Science	2013	NA	NA	NA	NA	1
107		WebLyzard White Paper	2004	NA	NA	NA	NA	1
108		阿里应用:2017年Q2中国Android应用分发报告解读	NA	NA	NA	NA	NA	1
109		丙肝的危害	2011	NA	NA	NA	NA	1
110		材料科学论坛——卢柯:材料科学研究的动力与乐趣	2004	NA	NA	NA	NA	1
111		成功的实践，显著的成绩——国家科学基金委员会成立十周年	科技导报	1996		9	33	1
112		从大脑到心脏再到天堂:公共图书馆发展的必经之路	2011	NA	NA	NA	NA	1
113		东华大学3个学科入围ESI世界前1%学科	纺织服装教育	2011		2	NA	1
114		公共图书馆	2011	NA	NA	NA	NA	1
115		关于spss	2002	NA	NA	NA	NA	1
116		关于加强中国特色新型智库建设的意见(全文)	2016	NA	NA	NA	NA	1
117		馆情介绍	2010	NA	NA	NA	NA	1
118		国际科学计量学与信息计量学大会在武汉大学召开	2017	NA	NA	NA	NA	1
119		国家八七扶贫攻坚计划	2016	NA	NA	NA	NA	1
120		国家信息化发展战略纲要	2016	NA	NA	NA	NA	1
121		国务院办公厅转发教育部等部门关于进一步加强学校体育工作若干意见的通知	2017	NA	NA	NA	NA	1
122		胡锦涛在全国抗震救灾表彰大会上的讲话	2008	NA	NA	NA	NA	1
123		教育部关于印发《普通高等学校图书馆规程(修订)》的通知	2016	NA	NA	NA	NA	1
